Date,Open,High,Low,Close,Volume,Market Cap
2020-03-10,8045.081283,8132.647863,7664.882826,7915.672115,37959208550.0,143000000000.0
2020-03-11,7933.949977,8139.026941,7794.19417,7900.821326,34726963415.0,144000000000.0
2020-03-12,7897.141265,7963.670417,7627.475829,7931.347543,32035157696.0,142000000000.0
2020-03-13,7932.112312,7953.436635,4684.824346,4724.392684,38263176500.0,121000000000.0
2020-03-14,4799.696383,5891.890069,4003.591032,5518.647281,60723203715.0,95005002273.0
2020-03-15,5585.038431,5611.991974,5120.784387,5212.979298,41904880597.0,97722102310.0
2020-03-16,5200.9682,5832.913923,5168.397856,5381.745247,26391424072.0,96195556705.0
2020-03-17,5374.039138,5374.039138,4528.29957,5022.578106,33030427612.0,90499353955.0
2020-03-18,5008.440359,5446.809002,4968.735364,5362.320407,36376336244.0,95525363027.0
2020-03-19,5322.867474,5396.969402,5047.756899,5365.581534,30708432421.0,95631779591.0
2020-03-20,5363.797911,6373.372919,5280.25082,6160.004718,46227050479.0,105000000000.0
2020-03-21,6163.652016,6845.323911,5816.372412,6192.309975,82173623931.0,116000000000.0
2020-03-22,6211.467473,6428.249246,5921.284296,6149.798351,74321910267.0,113000000000.0
2020-03-23,6162.351079,6385.923936,5796.488313,5843.158786,49039501835.0,112000000000.0
2020-03-24,5836.556173,6500.702807,5769.09003,6467.459038,48057935733.0,111000000000.0
2020-03-25,6465.057236,6776.05115,6390.800015,6736.044984,41093254550.0,121000000000.0
2020-03-26,6740.887504,6909.427938,6509.137357,6681.336594,37094888214.0,122000000000.0
2020-03-27,6679.399747,6750.800609,6563.679185,6736.291779,29627849181.0,122000000000.0
2020-03-28,6736.947799,6820.942204,6377.749564,6377.749564,28806208013.0,122000000000.0
2020-03-29,6378.656392,6378.656392,6073.035098,6239.838832,27085157179.0,114000000000.0
2020-03-30,6241.95689,6241.95689,5908.106132,5917.297073,23647684302.0,112000000000.0
2020-03-31,5900.006585,6546.928547,5877.928855,6424.078447,27021350125.0,115000000000.0
2020-04-01,6397.716177,6496.83391,6358.758001,6431.262413,27431559375.0,118000000000.0
2020-04-02,6419.060999,6601.951969,6176.881757,6598.287015,25637412067.0,115000000000.0
2020-04-03,6591.466748,7112.018153,6572.988866,6807.465142,35949707671.0,123000000000.0
2020-04-04,6797.838574,7009.42559,6630.440002,6733.747735,37167518959.0,125000000000.0
2020-04-05,6733.667481,6867.941778,6693.177965,6847.730055,27880150848.0,124000000000.0
2020-04-06,6847.44595,6874.528639,6710.016206,6789.732165,25269670113.0,124000000000.0
2020-04-07,6789.732157,7291.003705,6789.732139,7279.161792,31594108803.0,129000000000.0
2020-04-08,7317.027619,7428.30619,7122.743854,7198.770192,39144962206.0,134000000000.0
2020-04-09,7197.669188,7376.150589,7171.114164,7352.328771,32753738689.0,134000000000.0
2020-04-10,7350.847013,7355.680725,7166.887911,7293.58436,28609068745.0,134000000000.0
2020-04-11,7287.828929,7291.256766,6773.425902,6859.833737,32004749572.0,128000000000.0
2020-04-12,6870.159673,6930.589448,6773.981141,6869.586552,30015475132.0,126000000000.0
2020-04-13,6873.738524,7151.799963,6797.613535,6977.230636,25365748776.0,127000000000.0
2020-04-14,6925.828476,6925.828476,6651.140958,6837.42254,31953029026.0,124000000000.0
2020-04-15,6841.808245,6956.211498,6778.251961,6856.179094,28504195497.0,126000000000.0
2020-04-16,6860.026011,6915.825191,6629.918818,6637.791816,26821228376.0,125000000000.0
2020-04-17,6632.633868,7136.021271,6531.440044,7088.799492,33497785089.0,126000000000.0
2020-04-18,7095.723993,7127.521096,7028.621059,7034.540358,30376034250.0,130000000000.0
