Date,Open,High,Low,Close,Volume,Market Cap
2018-01-01,12596.01857,14298.86584,12395.28947,14033.56799,11818683014.0,230000000000.0
2018-01-02,14046.00276,14521.96554,12980.81113,13577.18855,9527935462.0,229000000000.0
2018-01-03,13644.69304,15468.20814,13195.87352,14938.17668,11519263413.0,235000000000.0
2018-01-04,14895.27537,15646.49864,14470.73767,15079.15218,15486225672.0,254000000000.0
2018-01-05,15168.97237,16708.70927,14286.66985,15163.89895,17853763691.0,251000000000.0
2018-01-06,15197.76475,17161.635,14878.04817,16989.16148,19609983790.0,272000000000.0
2018-01-07,17025.65642,17179.03357,16336.05622,17162.01641,18955266191.0,288000000000.0
2018-01-08,17147.5764,17147.5764,15811.12077,16515.28737,14928537113.0,285000000000.0
2018-01-09,16265.34084,18578.49314,13940.416,15218.63286,15332152746.0,263000000000.0
2018-01-10,15190.76115,16153.55621,14491.07305,14710.59636,16217162080.0,254000000000.0
2018-01-11,14705.36754,15065.00252,13822.1495,15065.00252,15928534701.0,241000000000.0
2018-01-12,15120.84411,15152.80451,13113.73774,13501.98144,15709420581.0,233000000000.0
2018-01-13,13571.75813,14364.99214,13108.29116,14089.11203,12799444154.0,232000000000.0
2018-01-14,14066.98128,14807.72901,14066.98128,14552.77603,11643386358.0,242000000000.0
2018-01-15,14535.05729,14661.4007,13123.35603,13815.42967,11121051176.0,231000000000.0
2018-01-16,13787.98921,14929.66735,13663.14242,13769.21644,10282025657.0,235000000000.0
2018-01-17,13797.97554,14430.17095,9963.101192,11445.84964,12240679658.0,206000000000.0
2018-01-18,11284.38864,11750.69524,9300.527455,11139.59209,15748924943.0,180000000000.0
2018-01-19,11201.99236,12348.93238,10755.67951,11305.3074,15847953324.0,193000000000.0
2018-01-20,11209.29194,12140.06162,10839.80303,11517.12995,11002606473.0,197000000000.0
2018-01-21,11571.61787,13482.69124,11571.61787,12961.20566,9405841904.0,213000000000.0
2018-01-22,12982.92075,12982.92075,11241.29591,11481.02513,8556846220.0,200000000000.0
2018-01-23,11529.52182,11950.61767,10164.07308,10917.30641,8135625787.0,189000000000.0
2018-01-24,10917.29084,11335.21575,10113.3804,10800.47262,9191153509.0,181000000000.0
2018-01-25,10821.59111,10821.59111,10821.59111,10821.59111,8473730460.0,182000000000.0
2018-01-26,11353.62685,11730.7456,11027.00545,11219.4367,8775510518.0,192000000000.0
2018-01-27,11203.60858,11668.42645,10406.80905,11123.95015,7926703936.0,187000000000.0
2018-01-28,11112.81785,11648.84804,10943.32371,11446.46873,7210080914.0,191000000000.0
2018-01-29,11492.65019,12113.07635,11460.24989,11865.23189,6719212830.0,198000000000.0
2018-01-30,11778.74425,11924.9553,11235.99591,11348.08379,4406818761.0,193000000000.0
